layer,field,alias,type,length,nullable,domain,codedValues
Pathways,facility_name,Facility Name,String,100,True,dFacilityName_9,"101 W 29th St=101 W 29th St; 2731 N Charles St=2731 N Charles St; 2733 N Charles St=2733 N Charles St; 3001 N Charles St=3001 N Charles St; 3001 Remington Ave=3001 Remington Ave; 3101 N Charles St=3101 N Charles St; 3103 N Charles St=3103 N Charles St; 3105 N Charles St=3105 N Charles St; 3111 N Charles St=3111 N Charles St; 3115-3117 St Paul St=3115-3117 St Paul St; 3121 St Paul St=3121 St Paul St; 3201 N Charles St=3201 N Charles St; 3209 North Charles St=3209 North Charles St; 3505 N Charles St=3505 N Charles St; 9 East 33rd=9 East 33rd; Abel Wolman House=Abel Wolman House; Alumni Memorial Residence 1=Alumni Memorial Residence 1; Alumni Memorial Residence 2=Alumni Memorial Residence 2; Alumni Memorial Residence 3-A=Alumni Memorial Residence 3-A; Alumni Memorial Residence 3-B=Alumni Memorial Residence 3-B; Alumni Memorial Residence 3-C=Alumni Memorial Residence 3-C; Ames Hall=Ames Hall; Babb Field at Stromberg Stadium=Babb Field at Stromberg Stadium; Barton Hall=Barton Hall; Bascom Undergraduate Teaching Labs=Bascom Undergraduate Teaching Labs; Bates Tower=Bates Tower; Biology III=Biology III; Bloomberg Instruction Center=Bloomberg Instruction Center; Bloomberg Research Center=Bloomberg Research Center; Bloomberg Student Center=Bloomberg Student Center; Bradford Apartments=Bradford Apartments; Brody Learning Commons=Brody Learning Commons; Carnegie Institute=Carnegie Institute; Charles Apartments=Charles Apartments; Chemistry Building=Chemistry Building; Clark Hall=Clark Hall; Cordish Lacrosse Center=Cordish Lacrosse Center; Croft Hall=Croft Hall; Dell House=Dell House; Dunning Hall=Dunning Hall; Garland Hall=Garland Hall; Gatehouse News-Letter Office=Gatehouse News-Letter Office; Gilman Hall=Gilman Hall; Greenhouse=Greenhouse; Greenhouse South=Greenhouse South; Hackerman Hall=Hackerman Hall; Hodson Hall=Hodson Hall; Homewood Apartments=Homewood Apartments; Homewood Apartments Annex=Homewood Apartments Annex; Homewood Early Learning Center=Homewood Early Learning Center; Homewood House=Homewood House; Hopkins Inn=Hopkins Inn; Imagine Center=Imagine Center; Interfaith Community Center=Interfaith Community Center; Jenkins-Mergenthaler Hall=Jenkins-Mergenthaler Hall; Krieger Hall=Krieger Hall; Latrobe Hall=Latrobe Hall; Levering Hall=Levering Hall; Levi Hall=Levi Hall; Macaulay Hall=Macaulay Hall; Malone Hall=Malone Hall; Maryland Hall=Maryland Hall; Mason Hall=Mason Hall; McCoy Hall=McCoy Hall; Merrick Barn Theatre=Merrick Barn Theatre; Milton S. Eisenhower Library=Milton S. Eisenhower Library; MSEL Annex- Johns Hopkins Club=MSEL Annex- Johns Hopkins Club; Mudd Hall=Mudd Hall; Muller Building=Muller Building; Newton H. White, Jr. Athletic Center=Newton H. White, Jr. Athletic Center; Nichols House=Nichols House; North Chiller Plant=North Chiller Plant; Olin Hall=Olin Hall; Pava Marie LaPere Center for Entrepreneurship=Pava Marie LaPere Center for Entrepreneurship; Power Plant=Power Plant; Privy=Privy; R House=R House; Ralph S. O'Connor Recreation Center=Ralph S. O'Connor Recreation Center; Remsen Hall=Remsen Hall; Rogers House=Rogers House; ROTC Building=ROTC Building; San Martin Center=San Martin Center; San Martin Garage=San Martin Garage; Schelle Pavilion at Homewood Field=Schelle Pavilion at Homewood Field; School of Education=School of Education; Scott Tower=Scott Tower; Shaffer Hall=Shaffer Hall; Shriver Hall=Shriver Hall; Smokler Center for Jewish Life=Smokler Center for Jewish Life; South Garage=South Garage; Steinwald Alumni House=Steinwald Alumni House; STSCI Parking Garage=STSCI Parking Garage; The Academy on Charles=The Academy on Charles; The Study=The Study; West Gate Garage=West Gate Garage; Wolman Hall=Wolman Hall; Wyman Building 1=Wyman Building 1; Wyman Building 2=Wyman Building 2; Wyman Building 3=Wyman Building 3; Exterior =Exterior; SNF Agora=SNF Agora"
Pathways,length_3d,Length in 3D,Double,,True,,
Pathways,level_name_from,From Level Name,String,100,True,,
Pathways,level_name_to,To Level Name,String,100,True,,
Pathways,pathway_rank,Pathway Rank,Integer,,True,DOM_NETWORK_RANK,1=Primary; 2=Secondary; 3=Tertiary
Pathways,pathway_type,Pathway Type,Integer,,True,DOM_NETWORK_TYPE,1=Hallway / Sidewalk; 2=Stairs / Curb; 3=Ramp / Curb Ramp; 4=Elevator / Wheelchair Lift; 5=Escalator; 6=Moving Walkway
Pathways,travel_direction,Travel Direction,Integer,,True,DOM_TRAVEL_DIRECTION,1=Both Directions Allowed; 2=From-To Allowed; 3=To-From Allowed
Pathways,vertical_order,Vertical Order,Integer,,True,,
Pathways,level_id,Level ID,String,255,True,,
Pathways,sourceguid,SourceGUID,GUID,38,True,,
Pathways,walktime,WALKTIME,Double,,True,,
Pathways,pathdisplay,Path Display,String,256,True,dPathDisplay,Building_Center_Path=Building Center Path; Block=Block; Hidden=Hidden
Pathways,pathway_id,Pathway ID,String,50,True,,
Pathways,riser_count,Riser Count,SmallInteger,,True,,
Pathways,directions_name_text,Directions Text,String,255,True,,
Pathways,location_class,Location Class,String,50,True,Location_Class_9,Interior=Interior; Exterior=Exterior; Covered_Exterior=Covered Exterior; Semi_Enclosed=Semi-Enclosed; Underground=Underground; Elevated=Elevated; Other=Other
